City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Country,Date
Urengoy,65.9667,78.3667,1.41,81,100,8.6,RU,1632113339
Okato,-39.2,173.8833,11.49,74,14,4.96,NZ,1632113341
Severo-Kuril'sk,50.6789,156.125,11.02,75,23,7.05,RU,1632113342
Bathsheba,13.2167,-59.5167,24.34,88,20,2.06,BB,1632113343
San Jerónimo,-11.9472,-75.2829,11.73,62,95,0.49,PE,1632113345
Okhotsk,59.3833,143.3,11.89,56,98,4.33,RU,1632113346
Oranjemund,-28.55,16.4333,14.31,70,100,2.17,NA,1632113348
Atarra,25.2833,80.5667,31,64,1,1.95,IN,1632113350
Broome,42.2506,-75.833,11.15,76,0,0.85,US,1632113351
Sovetskiy,61.3614,63.5842,2.21,84,100,5.36,RU,1632113352
Kribi,2.95,9.9167,24.11,92,97,1.3,CM,1632113354
Canutama,-6.5339,-64.3831,23.08,92,13,1.15,BR,1632113356
Pochutla,15.7432,-96.4661,25.46,88,100,1.44,MX,1632113358
Hasaki,35.7333,140.8333,25.22,63,19,7.66,JP,1632113265
Chunskiy,56.0815,99.6342,15.4,68,100,3,RU,1632113359
Nador,35.174,-2.9287,20.14,83,40,1.03,MA,1632113361
Kunyang,27.6658,120.5658,31.96,62,1,2.4,CN,1632113363
Champerico,14.3,-91.9167,25.55,79,100,0.95,GT,1632113363
Cabinda,-5.55,12.2,22.88,84,34,3.03,AO,1632113364
Bitung,1.4451,125.1824,25.47,75,54,2.52,ID,1632113366
Carauari,-4.8828,-66.8958,23.94,81,10,0.2,BR,1632113367
Boa Vista,2.8197,-60.6733,24.99,88,20,1.03,BR,1632113369
Sarangani,5.4033,125.4636,27.75,71,100,4.16,PH,1632113370
Kemijärvi,66.7131,27.4306,0.76,90,39,1.84,FI,1632113371
Solnechnyy,50.7214,136.6319,18.22,29,0,3.6,RU,1632113372
New Smyrna Beach,29.0258,-80.927,24.5,92,100,1.23,US,1632113373
Esperance,-33.8667,121.9,15.91,55,15,6.1,AU,1632113374
Longyearbyen,78.2186,15.6401,2.91,100,75,2.06,SJ,1632113085
Nahariya,33.0059,35.0941,22.95,56,0,0.46,IL,1632113375
Ceres,37.5949,-120.9577,20.27,43,1,7.2,US,1632113377
Makakilo City,21.3469,-158.0858,25,68,90,2.06,US,1632113379
Namatanai,-3.6667,152.4333,28.31,74,49,3.01,PG,1632113381
Rio Grande,-32.035,-52.0986,19.41,99,100,6.17,BR,1632113382
Ajdabiya,30.7554,20.2263,26.15,37,0,4.05,LY,1632113385
La Sarre,48.8002,-79.1996,13.56,55,69,5.22,CA,1632113386
Flinders,-34.5833,150.8552,25.33,30,0,5.81,AU,1632113387
Kyra,49.5776,111.9753,16.03,65,96,2.58,RU,1632113388
Nadym,65.5333,72.5167,2.34,70,69,10.51,RU,1632113389
Roald,62.5833,6.1333,12.18,94,75,2.06,NO,1632113391
Codajás,-3.8367,-62.0569,23.48,92,50,0.38,BR,1632113392
Salalah,17.0151,54.0924,28.05,83,40,3.09,OM,1632113394
Saint-Michel-des-Saints,46.6834,-73.9159,8.17,82,4,1.07,CA,1632113396
Springbok,-29.6643,17.8865,8.38,75,94,5.02,ZA,1632113397
Osoyoos,49.0331,-119.4524,13.35,76,39,1.03,CA,1632113398
Qingyang,37.4958,121.2581,22.75,92,100,6.59,CN,1632113400
La Palma,33.8464,-118.0467,18.47,84,1,0.45,US,1632113401
Kaduqli,11.0167,29.7167,24.22,79,76,0.99,SD,1632113402
Akureyri,65.6835,-18.0878,6.96,93,90,2.06,IS,1632113404
Samoylovka,51.184,43.7081,7.88,87,100,8.08,RU,1632113406
Noumea,-22.2763,166.4572,24.99,59,2,8.53,NC,1632113390
Opuwo,-18.0607,13.84,17.81,32,14,0.83,NA,1632113409
Raudeberg,61.9875,5.1352,11.55,81,100,3.13,NO,1632113411
Hofn,64.2539,-15.2082,10.94,96,100,7.58,IS,1632113413
Olenegorsk,68.15,33.3,2.32,84,4,2.42,RU,1632113414
Asekeyevo,53.5742,52.7972,7.2,54,45,2.1,RU,1632113418
Goderich,43.7501,-81.7165,15.07,82,40,3.6,CA,1632113420
Sri Aman,1.2376,111.4621,30.03,79,40,1.54,MY,1632113421
Esil,51.9556,66.4042,5.57,55,15,5.99,KZ,1632113422
Gayny,60.3071,54.3241,3.06,69,59,3.72,RU,1632113424
Ust-Kuyga,70.0167,135.6,4.87,41,52,3.93,RU,1632113426
Beira,-19.8436,34.8389,15.05,94,20,1.54,MZ,1632113334
Solano,38.2333,-121.9511,17.46,67,1,4.12,US,1632113428
Brownsville,25.9018,-97.4975,27.35,83,1,0.89,US,1632113429
Ténenkou,14.4572,-4.9169,27.89,67,89,4.64,ML,1632113430
Kaeo,-35.1,173.7833,17.96,61,0,3.44,NZ,1632113432
Lieksa,63.3167,30.0167,3.09,82,22,4.37,FI,1632113433
Padang,-0.9492,100.3543,30.03,70,88,1.91,ID,1632113219
Belyy Yar,53.6039,91.3903,6.94,87,75,2,RU,1632113436
Shwebo,22.5667,95.7,26.83,85,99,1,MM,1632113437
Shingū,33.7333,135.9833,28.28,66,73,3.23,JP,1632113195
Pachino,36.7186,15.0907,20.02,69,1,1.25,IT,1632113439
Lompoc,34.6391,-120.4579,15.27,87,90,3.6,US,1632113441
Phalaborwa,-23.943,31.1411,15.6,41,0,2.93,ZA,1632113442
Whitehorse,60.7161,-135.0538,6.43,70,20,4.12,CA,1632113309
Port Blair,11.6667,92.75,29.49,70,100,3.04,IN,1632113353
Xining,36.6167,101.7667,16.82,38,0,1.44,CN,1632113215
Hūn,29.1268,15.9477,25.61,28,0,3.09,LY,1632113445
Sitka,57.0531,-135.33,11.94,82,40,2.06,US,1632113447
Ploemeur,47.7333,-3.4333,10.23,94,0,2.57,FR,1632113408
Mogadishu,2.0371,45.3438,25.93,89,75,9.26,SO,1632113449
Mana,5.6592,-53.7767,25.49,86,79,3.87,GF,1632113451
Talara,-4.5772,-81.2719,18.25,79,31,7.56,PE,1632113453
Gao,16.6362,1.637,30.96,42,14,5.66,ML,1632113455
Hong Kong,22.2855,114.1577,30.24,83,21,2.9,HK,1632113449
Dicabisagan,17.0818,122.4157,31.21,62,99,2.75,PH,1632113457
Arrondissement de Tulle,45.3333,1.8333,11.66,99,85,0.59,FR,1632113457
Arlit,18.7369,7.3853,30.46,13,40,3.1,NE,1632113459
Olinda,-8.0089,-34.8553,24.85,65,40,4.12,BR,1632113460
Puerto Escondido,15.85,-97.0667,26.43,84,99,1.64,MX,1632113463
Saint-Ambroise,48.5501,-71.3324,7.03,87,46,1.54,CA,1632113464
Kita,13.0349,-9.4895,22.03,92,98,0.96,ML,1632113466
Yangi Marg`ilon,40.4272,71.7189,23.39,28,0,1.03,UZ,1632113467
Gulfport,30.3674,-89.0928,25.1,91,75,0,US,1632113468
San Quintín,30.4833,-115.95,19.39,81,2,4.71,MX,1632113469
Ayan,56.45,138.1667,9.72,43,3,8.52,RU,1632113470
Cabra,37.4725,-4.4421,17.48,77,0,1.23,ES,1632113473
Daru,-9.0763,143.2092,25.64,88,95,8.6,PG,1632113475
São Miguel do Araguaia,-13.275,-50.1628,26.27,21,26,1.25,BR,1632113475
Redcliffe,-27.2307,153.0973,25.87,69,0,9.77,AU,1632113477
Adrar,20.5022,-10.0711,29.34,36,59,8.47,MR,1632113478
Onega,63.9061,38.1404,4.91,70,73,2.28,RU,1632113479
Ixtapa,20.7,-105.2,24.57,99,100,1.13,MX,1632113481
Nouadhibou,20.931,-17.0347,23.99,78,0,5.14,MR,1632113482
Neiafu,-18.65,-173.9833,26.38,73,40,2.06,TO,1632113484
Marshfield,44.6689,-90.1718,20.38,78,1,3.6,US,1632113486
Anshun,26.25,105.9333,23.51,50,1,1.39,CN,1632113488
Porto Torres,40.835,8.3972,22.1,66,19,6.61,IT,1632113489
Esim,4.8699,-2.2405,24.09,91,100,1.92,GH,1632113490
Wakkanai,45.4094,141.6739,18.99,45,20,5.66,JP,1632113293
Kibre Mengist,5.8833,38.9833,16.23,92,97,0.14,ET,1632113493
Ahipara,-35.1667,173.1667,14.74,71,0,3.11,NZ,1632113494
City of San Pedro,14.35,121.0167,29.38,75,75,3.09,PH,1632113495
Pandan,14.0453,124.1694,29.28,78,87,2.63,PH,1632113496
Datong,40.0936,113.2914,20.84,43,33,4.21,CN,1632113220
Walvis Bay,-22.9575,14.5053,6.53,93,0,2.06,NA,1632113497
Narsaq,60.9167,-46.05,2.42,86,80,1.56,GL,1632113499
Prieska,-29.6641,22.7474,8.74,65,0,3.67,ZA,1632113500
Sur,22.5667,59.5289,31.28,55,2,2.65,OM,1632113502
Nichinan,31.6,131.3667,27.82,76,48,3.94,JP,1632113504
Togur,58.3631,82.8265,2.4,98,100,3.07,RU,1632113504
Acapulco de Juárez,16.8634,-99.8901,25.97,84,70,1.57,MX,1632113308
Verāval,20.9,70.3667,28.59,79,15,4.26,IN,1632113506
Bārmer,25.75,71.3833,30.3,60,61,5.08,IN,1632113507
Bemidji,47.4736,-94.8803,22.69,68,75,5.66,US,1632113508
Arinos,-15.9169,-46.1056,22.92,32,21,0.19,BR,1632113509
Martapura,-3.4167,114.85,33.05,52,40,2.57,ID,1632113511
Júlio de Castilhos,-29.2269,-53.6817,20.18,95,69,4.14,BR,1632113511
Gravdal,68.1214,13.5031,9.82,71,100,6.95,NO,1632113514
Baker City,44.7749,-117.8344,5.74,90,20,1.54,US,1632113515
Río Gallegos,-51.6226,-69.2181,4.03,75,0,3.6,AR,1632113517
Mandalī,33.7499,45.5541,32.16,15,0,3.79,IQ,1632113518
Guangyuan,32.442,105.823,27.07,51,0,1.72,CN,1632113520
Laredo,27.5064,-99.5075,30.16,66,1,6.17,US,1632113521
Krasnyy Chikoy,50.3643,108.7512,15.33,75,74,2.66,RU,1632113522
Heilbron,-27.2812,27.9709,13.35,64,84,1.28,ZA,1632113326
Ubari,26.5921,12.7805,24.62,28,0,4.02,LY,1632113523
Puerto Ayacucho,5.6639,-67.6236,23.55,92,92,0.69,VE,1632113525
Kirakira,-10.4544,161.9205,28.15,77,90,5.99,SB,1632113527
Tirumullaivāsal,11.2333,79.8333,32.24,58,32,2.96,IN,1632113528
Bordighera,43.7806,7.6645,20.13,64,1,1.79,IT,1632113528
Buin,-33.7333,-70.75,10.02,89,16,1.24,CL,1632113530
Awjilah,29.1081,21.2869,26.17,37,0,3.88,LY,1632113532
Kahului,20.8947,-156.47,25.13,73,40,7.72,US,1632113533
Jīnd,29.3167,76.3167,31.22,61,0,3.69,IN,1632113535
Macaparana,-7.5547,-35.4531,22,95,68,1.71,BR,1632113535
Saint-Joseph,-21.3667,55.6167,19.86,76,47,6.07,RE,1632113526
Pandamatenga,-18.5278,25.627,18.73,56,32,4.79,BW,1632113538
Comodoro Rivadavia,-45.8667,-67.5,9.92,43,0,6.17,AR,1632113540
Coahuayana Viejo,18.7333,-103.6833,24.23,86,94,1.31,MX,1632113542
Hare Bay,48.8499,-54.0148,7.78,83,100,6.76,CA,1632113543
Province of Trapani,37.8333,12.6667,21.9,100,40,1.54,IT,1632113544
Kununurra,-15.7667,128.7333,37.99,19,5,7.2,AU,1632113546
Mattru,7.6244,-11.8332,22.34,98,95,1.11,SL,1632113546
Maryville,35.7565,-83.9705,21.2,94,90,0,US,1632113548
Hakkâri Province,37.5833,44.1667,7.88,61,0,0.51,TR,1632113549
Río Cuarto,-33.1307,-64.3499,9.91,92,98,7.44,AR,1632113551
Bochnia,49.9691,20.4303,9.22,94,100,2.46,PL,1632113553
Terney,45.0503,136.6092,19.47,42,61,3.74,RU,1632113554
Hirara,24.8,125.2833,29.15,84,40,4.12,JP,1632113555
Biak,-0.9131,122.8766,27.4,75,69,2.32,ID,1632113555
Mezhova,48.2532,36.7347,14.11,79,77,4.33,UA,1632113556
La Rioja,42.25,-2.5,12.49,82,98,1.24,ES,1632113557
Talcahuano,-36.7167,-73.1167,7.82,81,0,2.06,CL,1632113559
Bayjī,34.9311,43.487,28.75,19,0,3.21,IQ,1632113561
Popondetta,-8.7537,148.2534,22.52,99,100,0.99,PG,1632113562
Buala,-8.145,159.5921,28.61,72,95,3.81,SB,1632113563
Port Hawkesbury,45.6169,-61.3485,11.91,81,1,3.13,CA,1632113564
Tezu,27.9167,96.1667,32.22,57,1,1.79,IN,1632113566
Karīmnagar,18.4333,79.15,28.69,69,92,0.79,IN,1632113567
Saint-Pierre,-21.3393,55.4781,20.23,72,75,5.66,RE,1632113339
Oga,46.4631,10.347,4.59,98,99,3.05,IT,1632113568
Otofuke,42.9917,143.2003,22.53,49,14,1.9,JP,1632113359
Sai Buri,6.7013,101.6168,31.84,77,100,2.98,TH,1632113448
Synya,65.3718,58.0387,2.64,76,100,2.93,RU,1632113572
Katsuura,35.1333,140.3,26.06,62,34,8.38,JP,1632113288
Cockburn Town,21.4612,-71.1419,28.25,75,69,8.27,TC,1632113574
Alaca,40.1683,34.8425,19.03,47,9,1.74,TR,1632113575
Ndioum,16.5129,-14.6471,26.94,49,11,5.52,SN,1632113578
Hīt,33.6416,42.8251,29.19,23,0,5.16,IQ,1632113580
Sola,-13.8833,167.55,25.99,77,56,10.89,VU,1632113581
São João da Barra,-21.6403,-41.0511,23.21,86,100,2.82,BR,1632113582
Dunedin,-45.8742,170.5036,12.67,71,52,1.34,NZ,1632113297
Alofi,-19.0595,-169.9187,25.94,78,40,5.14,NU,1632113584
Mujiayingzi,42.1167,118.7833,10.1,97,100,5.44,CN,1632113586
Holme,56.1138,10.1725,10.13,79,100,3.59,DK,1632113588
Salisbury,51.0693,-1.7957,10.21,91,77,3.45,GB,1632113590
Aswān,24.0934,32.907,25.61,27,0,3.09,EG,1632113562
Marabu,4.4148,114.0089,30.08,74,40,0.51,MY,1632113539
Auki,-8.7676,160.7034,28.98,67,85,2.32,SB,1632113593
Sungai Penuh,-2.0833,101.3833,25.42,65,88,1.34,ID,1632113593
Bagdarin,54.4333,113.6,15.9,58,0,1.61,RU,1632113594
Southbridge,42.0751,-72.0334,11.75,95,0,0.43,US,1632113596
Ambon City,-3.6954,128.1814,27.08,89,40,1.54,ID,1632113409
Wanning,18.8003,110.3967,30.3,70,9,3.36,CN,1632113597
Kyzyl,51.7,94.45,19.24,32,98,2.43,RU,1632113598
Bozovici,44.9389,22.0017,13.52,88,97,1.34,RO,1632113598
Twentynine Palms,34.1356,-116.0542,25.61,24,0,2.24,US,1632113600
Xifeng,42.7372,124.7222,14.6,93,100,4.13,CN,1632113601
Amazar,53.858,120.875,17.83,53,26,3.29,RU,1632113602
São Filipe,14.8961,-24.4956,26.2,85,100,1.77,CV,1632113604
Hirado,33.3597,129.5531,28.64,74,43,2.98,JP,1632113605
Muravlenko,63.7898,74.523,2.26,97,88,8.79,RU,1632113606
Mukono,0.3533,32.7553,19.86,90,68,0.8,UG,1632113608
Puerto Madryn,-42.7692,-65.0385,10.85,54,3,3.85,AR,1632113609
Coihueco,-36.6167,-71.8333,6.41,76,2,4.12,CL,1632113612
Khasan,42.4308,130.6434,18.66,78,100,2.43,RU,1632113614
Asău,46.4333,26.4,9.56,93,37,0.06,RO,1632113614
Dargaville,-35.9333,173.8833,14.32,71,6,3.29,NZ,1632113616
Port Macquarie,-31.4333,152.9167,24.98,40,0,2.76,AU,1632113617
San Jose,37.3394,-121.895,16.49,74,20,4.12,US,1632113499
Pustoshka,56.3355,29.369,2.51,97,100,5.46,RU,1632113619
